Prompt-ID,Language,Topic,Type,SearchTerm
P1,English,Transportboxen,product,What transport boxes are available for lithium batteries?
P2,English,Lagerbehälter,product,Which containers are suitable for storing lithium batteries?
P3,English,Verkauf,product,Which suppliers sell safety boxes for damaged lithium batteries?
P4,English,Vermietung,product,Providers of storage containers for lithium batteries for rent
P5,English,Havariefälle,service,Which service provider specializes in the disposal of lithium batteries after an incident?
P6,English,Transport,service,Which company can transport damaged lithium batteries?
P7,English,Vermietung,product,Which company rents out dangerous goods boxes for lithium batteries?
P8,English,Verkauf,product,Provider of quarantine boxes for lithium-ion batteries
P9,English,Verkauf,product,Which suppliers offer transport crates for lithium-ion batteries?
P10,English,Verkauf,product,Which suppliers sell dangerous goods boxes for high-voltage batteries?
P11,English,Vermietung,product,Where can I rent quarantine boxes for defective lithium-ion batteries?
P12,English,Havariefälle,service,Service provider for Europe-wide collection of lithium batteries after an incident
P13,English,Havariefälle,service,Which providers dispose of lithium batteries after a warehouse or truck fire?
P14,English,Entsorgung,service,Which company is best for disposing of lithium-ion batteries?
P15,English,Transportboxen,product,What is the best transport box for lithium-ion batteries?
P1,Español,Transportboxen,product,¿Qué cajas de transporte existen para baterías de litio?
P2,Español,Lagerbehälter,product,¿Qué contenedores son adecuados para el almacenamiento de baterías de litio?
P3,Español,Verkauf,product,¿Qué proveedores venden cajas de seguridad para baterías de litio dañadas?
P4,Español,Vermietung,product,Proveedores de contenedores de almacenamiento para baterías de litio en alquiler
P5,Español,Havariefälle,service,¿Qué proveedor de servicios está especializado en la eliminación de baterías de litio tras un siniestro?
P6,Español,Transport,service,¿Qué empresa puede transportar baterías de litio dañadas?
P7,Español,Vermietung,product,¿Qué empresa alquila cajas para mercancías peligrosas para baterías de litio?
P8,Español,Verkauf,product,Proveedor de cajas de cuarentena para baterías de iones de litio
P9,Español,Verkauf,product,¿Qué proveedores ofrecen cajones de transporte para baterías de iones de litio?
P10,Español,Verkauf,product,¿Qué proveedores venden cajas para mercancías peligrosas para baterías de alta tensión?
P11,Español,Vermietung,product,¿Dónde puedo alquilar cajas de cuarentena para baterías de iones de litio defectuosas?
P12,Español,Havariefälle,service,Proveedor de servicios para la recogida de baterías de litio en toda Europa tras un incidente
P13,Español,Havariefälle,service,¿Qué proveedores eliminan baterías de litio tras un incendio en almacén o de camión?
P14,Español,Entsorgung,service,¿Qué empresa es la mejor para la eliminación de baterías de iones de litio?
P15,Español,Transportboxen,product,¿Cuál es la mejor caja de transporte para baterías de iones de litio?
